Plot.ID,Block,Plot.letter,Treatment,Focal.sp,Competition,Species.comp.combo,Species.comp.treatment,Species.treatment.block,Plot.Focalsp.comp.combo,Neighbour.density,Focal.height,Solo.height,Height,Delta.height.highcomp.solo.pair,Leaf.length,Lat1,Lat2,Mean.Lat,Canopy.shape,Phenology.at.survey,Nearest.neighbour.sp,Nearest.neighbour.height,Soilmoisture.11.or.12.Aug.1.hicomp,Soilmoisture.11.or.12.Aug.2.hicomp,Soilmoisture.11.or.12.Aug.3.hicomp,Mean.soilmoisture.11.or.12.Aug.hicomp,Mean.SM.earlyAug,Solo.soilmoisture.Aug11or12.1,Solo.soilmoisture.Aug11or12.2,Solo.soilmoisture.Aug11or12.3,Mean.solo.soilmoisture,Soilmoisture.22.or.23.Aug.1.hicomp,Soilmoisture.22.or.23.Aug.2.hicomp,Soilmoisture.22.or.23.Aug.3.hicomp,Mean.soilmoisture.22.or.23.Aug.hicomp,Solo.soilmoisture.22or23.Aug.1,Solo.soilmoisture.22or23Aug.2,Solo.soilmoisture.22or23Aug.3,Mean.solo.soilmoisture.22or23.Aug,Mean.SM.lateAug,Soilmoisture.3Sep.hicomp.1,Soilmoisture.3Sep.hicomp.2,Soilmoisture.3Sep.hicomp.3,Mean.soilmoisture.3Sep.hicomp,Solo.soilmoisture.3Sep.1,Solo.soilmoisture.3Sep.2,Solo.soilmoisture.3Sep.3,Mean.solo.soilmoisture.3Sep,Mean.SM.Sep,Delta.MeanSM.AugSep,Bare,Moss,Crust,CWD,Rock,Near.under.log,Jam.litter,Euc.litter,Notes,Colwell.P,Canopy.cover.final,Exclude.from.analysis,Num.fl.total,Num.fl.seeding.total,Seedcount.extrap.integer,Mean.solo.seedcount.extrap.integer.block,Delta.seedcount.meansolospeciesblock,Solo.seedcount.extrap.integer,Delta.seedcount.highcomp.solo.pair,mean.trait.distance.height,mean.trait.distance.seedmass,mean.trait.distance.SLA,mean.trait.hierarchy.height,mean.trait.hierarchy.seedmass,mean.trait.hierarchy.SLA,var.trait.distance.height,var.trait.distance.seedmass,var.trait.distance.SLA,var.trait.hierarchy.height,var.trait.hierarchy.seedmass,var.trait.hierarchy.SLA,mean.trait.distance.canopyshape,var.trait.hierarchy.canopyshape,abundwghtd.mean.trait.distance.canopyshape,abundwghtd.mean.trait.distance.height,abundwghtd.mean.trait.distance.seedmass,abundwghtd.mean.trait.distance.SLA,abundwghtd.mean.trait.hierarchy.canopyshape,abundwghtd.mean.trait.hierarchy.height,abundwghtd.mean.trait.hierarchy.seedmass,abundwghtd.mean.trait.hierarchy.SLA,abundwghtd.var.trait.distance.canopyshape,abundwghtd.var.trait.distance.height,abundwghtd.var.trait.distance.seedmass,abundwghtd.var.trait.distance.SLA,abundwghtd.var.trait.hierarchy.canopyshape,abundwghtd.var.trait.hierarchy.height,abundwghtd.var.trait.hierarchy.seedmass,abundwghtd.var.trait.hierarchy.SLA,mean.trait.hierarchy.canopyshape
15A,15,A,Open,T.cyanopetala,Highcomp,T.cyanopetala.Highcomp,T.cyanopetala.Highcomp.Open,T.cyanopetala.Open.15,15A.T.cyanopetala.Highcomp,6,40,20,40,20,7,7,5,6,0.15,I,Not.focal.species,NA,19.3,20.3,22.3,20.63333333,20.63333333,19.8,18.9,22,20.23333333,16.4,24.3,25.7,22.13333333,25.7,24.3,22.3,24.1,22.13333333,8.5,9,11,9.5,13,9,9,10.33333333,9.5,-11.13333333,5,20,5,40,2,1,0,1,,18.3,2.777,0,2,2,4,31,-27,20,-16,25.4375,NA,9.66204163,-25.4375,NA,9.66204163,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4375,NA,9.66204163,NA,-25.4375,NA,9.66204163,NA,0,NA,0,NA,0,NA,0,NA
15B,15,B,Open,A.calendula,Highcomp,A.calendula.Highcomp,A.calendula.Highcomp.Open,A.calendula.Open.15,15B.A.calendula.Highcomp,NA,40,30,40,10,110,110,70,90,2.25,B,Not.focal.species,NA,23.8,22.3,18.4,21.5,21.5,19.3,21.3,23.3,21.3,21.8,27.2,24.3,24.43333333,28.7,22.8,26.7,26.06666667,24.43333333,6.1,9.5,9.5,8.366666667,8.5,9.5,10.5,9.5,8.366666667,-13.13333333,40,20,20,10,0,1,1,1,,13.6,2.15,0,13,13,393,383.6667,9.3333,325,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15B,15,B,Open,M.minima,Highcomp,M.minima.Highcomp,M.minima.Highcomp.Open,M.minima.Open.15,15B.M.minima.Highcomp,NA,35,20,35,15,20,20,0,10,0.285714286,F,Not.focal.species,NA,23.8,22.3,18.4,21.5,21.5,19.3,17.9,19.8,19,21.8,27.2,24.3,24.43333333,29.2,22.3,25.2,25.56666667,24.43333333,6.1,9.5,9.5,8.366666667,9.5,10,8.1,9.2,8.366666667,-13.13333333,40,20,20,10,0,1,1,1,,13.6,2.15,0,5,0,5,6,-1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15B,15,B,Open,P.canescens,Highcomp,P.canescens.Highcomp,P.canescens.Highcomp.Open,P.canescens.Open.15,15B.P.canescens.Highcomp,1,240,260,240,-20,82,170,110,140,0.583333333,B,NA,NA,23.8,22.3,18.4,21.5,21.5,24.3,19.8,14.9,19.66666667,21.8,27.2,24.3,24.43333333,20.8,23.8,25.7,23.43333333,24.43333333,6.1,9.5,9.5,8.366666667,4.6,6.6,8.5,6.566666667,8.366666667,-13.13333333,40,20,20,10,0,1,1,1,,13.6,2.15,0,56,38,3116,2240.3333,875.6667,2374,742,21.710559,0.935382222,10.13791242,21.710559,-0.935382222,-10.13791242,NA,NA,NA,NA,NA,NA,0.5184628,NA,0.5184628,21.710559,0.935382222,10.13791242,-0.5184628,21.710559,-0.935382222,-10.13791242,NA,NA,NA,NA,NA,NA,NA,NA,-0.5184628
15B,15,B,Open,T.cyanopetala,Highcomp,T.cyanopetala.Highcomp,T.cyanopetala.Highcomp.Open,T.cyanopetala.Open.15,15B.T.cyanopetala.Highcomp,3,55,70,55,-15,20,20,10,15,0.272727273,B,T.cyanopetala,55,23.8,22.3,18.4,21.5,21.5,22.3,23.3,23.8,23.13333333,21.8,27.2,24.3,24.43333333,18.4,24.7,24.3,22.46666667,24.43333333,6.1,9.5,9.5,8.366666667,10,9,10.5,9.833333333,8.366666667,-13.13333333,40,20,20,10,0,1,1,1,,13.6,2.15,0,2,2,10,31,-21,42,-32,20.33831522,0.683983334,0.5391615,20.33831522,0.683983334,-0.5391615,827.2941316,0.935666401,0.581390246,827.2941316,0.935666401,0.581390246,0.25102455,0.126026649,0.1673497,13.55887681,0.455988889,0.359441,-0.1673497,13.55887681,0.455988889,-0.359441,0.084017766,551.529421,0.623777601,0.387593497,0.084017766,551.529421,0.623777601,0.387593497,-0.25102455
15C,15,C,Shade,H.glutinosum,Highcomp,H.glutinosum.Highcomp,H.glutinosum.Highcomp.Shade,H.glutinosum.Shade.15,15C.H.glutinosum.Highcomp,4,100,90,100,10,8,20,5,12.5,0.125,,T.cyanopetala,50,13.9,15.4,15.9,15.06666667,15.06666667,26.7,17.9,21.3,21.96666667,22.3,22.3,23.4,22.66666667,22.3,23.7,33.6,26.53333333,22.66666667,8.1,8.5,12.5,9.7,11,8.1,9.5,9.533333333,9.7,-5.366666667,10,15,2,25,1,1,2,1,,6.6,42.4,0,7,5,15,22,-7,60,-45,15.08996212,0.84873,5.38276384,-15.08996212,-0.84873,-5.38276384,455.4139136,1.440685226,57.94829311,455.4139136,1.440685226,57.94829311,0.0969541,0.018800195,0.04847705,7.54498106,0.424365,2.69138192,-0.04847705,-7.54498106,-0.424365,-2.69138192,0.009400098,227.7069568,0.720342613,28.97414656,0.009400098,227.7069568,0.720342613,28.97414656,-0.0969541
15C,15,C,Shade,M.minima,Highcomp,M.minima.Highcomp,M.minima.Highcomp.Shade,M.minima.Shade.15,15C.M.minima.Highcomp,2,80,40,80,40,10,170,70,120,1.5,,Not.focal.species,NA,13.9,15.4,15.9,15.06666667,15.06666667,17.4,13.5,16.9,15.93333333,22.3,22.3,23.4,22.66666667,23.8,20.8,18.4,21,22.66666667,8.1,8.5,12.5,9.7,7.6,7.6,6.1,7.1,9.7,-5.366666667,10,15,2,25,1,1,2,1,,6.6,42.4,0,46,41,41,4.666667,36.333333,11,30,40.70788043,0.946234445,2.550690565,-40.70788043,-0.421732223,2.550690565,0.001953125,0.355716135,4.335732493,0.001953125,1.790719248,4.335732493,0.563843235,0.00763703,0.563843235,40.70788043,0.946234445,2.550690565,0.563843235,-40.70788043,-0.421732223,2.550690565,0.00763703,0.001953125,0.355716135,4.335732493,0.00763703,0.001953125,1.790719248,4.335732493,0.563843235
15C,15,C,Shade,P.canescens,Highcomp,P.canescens.Highcomp,P.canescens.Highcomp.Shade,P.canescens.Shade.15,15C.P.canescens.Highcomp,5,320,210,320,110,60,230,100,165,0.515625,,H.glutinosum,50,13.9,15.4,15.9,15.06666667,15.06666667,15.9,26.2,19.3,20.46666667,22.3,22.3,23.4,22.66666667,20.8,24.7,29.7,25.06666667,22.66666667,8.1,8.5,12.5,9.7,8.1,8.5,12,9.533333333,9.7,-5.366666667,10,15,2,25,1,1,2,1,,6.6,42.4,0,23,18,1827,731.75,1095.25,98,1729,20.1971183,0.323759833,1.53833219,20.1971183,-0.282129057,1.53833219,161.3981177,0.159193609,0.056183589,161.3981177,0.209640858,0.056183589,0.197572925,0.000806286,0.20158861,21.9937714,0.267334021,1.504810976,0.20158861,21.9937714,-0.21737709,1.504810976,0.000483772,96.83887064,0.095516165,0.033710154,0.000483772,96.83887064,0.125784515,0.033710154,0.197572925
15C,15,C,Shade,T.cyanopetala,Highcomp,T.cyanopetala.Highcomp,T.cyanopetala.Highcomp.Shade,T.cyanopetala.Shade.15,15C.T.cyanopetala.Highcomp,2,65,110,65,-45,15,20,10,15,0.230769231,,Not.focal.species,NA,13.9,15.4,15.9,15.06666667,15.06666667,14.4,18.9,17.9,17.06666667,22.3,22.3,23.4,22.66666667,27.7,21.8,32.1,27.2,22.66666667,8.1,8.5,12.5,9.7,7.1,8.1,15.4,10.2,9.7,-5.366666667,10,15,2,25,1,1,2,1,,6.6,42.4,0,2,2,8,154.666667,-146.666667,232,-224,33.55626333,2.324164277,9.74495248,33.55626333,2.324164277,9.74495248,425.7473991,0.000866561,0.939445048,425.7473991,0.000866561,0.939445048,0.125239375,0.023686055,0.125239375,33.55626333,2.324164277,9.74495248,0.125239375,33.55626333,2.324164277,9.74495248,0.023686055,425.7473991,0.000866561,0.939445048,0.023686055,425.7473991,0.000866561,0.939445048,0.125239375
15D,15,D,Shade,H.glutinosum,Highcomp,H.glutinosum.Highcomp,H.glutinosum.Highcomp.Shade,H.glutinosum.Shade.15,15D.H.glutinosum.Highcomp,19,75,45,75,30,5,20,10,15,0.2,,Not.focal.species,NA,16.9,15.9,15.4,16.06666667,16.06666667,13.9,12,13.5,13.13333333,16.4,20.8,17.9,18.36666667,16.9,15.4,17.4,16.56666667,18.36666667,5.6,5.6,NA,5.6,4.1,5.1,6.1,5.1,5.6,-10.46666667,20,35,1,30,1,1,2,1,,9.1,45.177,0,3,3,3,22,-19,6,-3,24.88383839,NA,1.850293217,-24.88383839,NA,-1.850293217,798.9891287,NA,5.363118166,798.9891287,NA,5.363118166,NA,NA,NA,44.91028708,NA,1.105246545,NA,-44.91028708,NA,-1.105246545,NA,468.8900542,NA,0.824150178,NA,468.8900542,NA,0.824150178,NA
15D,15,D,Shade,P.canescens,Highcomp,P.canescens.Highcomp,P.canescens.Highcomp.Shade,P.canescens.Shade.15,15D.P.canescens.Highcomp,4,230,230,230,0,65,80,40,60,0.260869565,,Not.focal.species,NA,16.9,15.9,15.4,16.06666667,16.06666667,13.9,12,12.5,12.8,16.4,20.8,17.9,18.36666667,18.9,15.4,18.4,17.56666667,18.36666667,5.6,5.6,NA,5.6,4.1,4.6,5.6,4.766666667,5.6,-10.46666667,20,35,1,30,1,1,2,1,,9.1,45.177,0,21,13,490,731.75,-241.75,1659,-1169,27.80871212,NA,1.154195235,-16.59485931,NA,1.154195235,550.778711,NA,0.608840731,1546.64894,NA,0.608840731,NA,NA,NA,27.80871212,NA,1.154195235,NA,-16.59485931,NA,1.154195235,NA,367.1858074,NA,0.405893821,NA,1031.099293,NA,0.405893821,NA
15D,15,D,Shade,T.cyanopetala,Highcomp,T.cyanopetala.Highcomp,T.cyanopetala.Highcomp.Shade,T.cyanopetala.Shade.15,15D.T.cyanopetala.Highcomp,4,110,90,110,20,20,30,10,20,0.181818182,,Not.focal.species,NA,16.9,15.9,15.4,16.06666667,16.06666667,12.5,11.5,12,12,16.4,20.8,17.9,18.36666667,17.4,18.4,16.9,17.56666667,18.36666667,5.6,5.6,NA,5.6,5.1,5.1,5.6,5.266666667,5.6,-10.46666667,20,35,1,30,1,1,2,1,,9.1,45.177,0,14,14,76,154.666667,-78.666667,58,18,39.16318973,2.021219833,10.59792161,39.16318973,2.021219833,10.59792161,161.3981177,0.209640858,0.056183589,161.3981177,0.209640858,0.056183589,0.213986625,0.000806286,0.203947413,34.67155699,1.859339916,10.68172465,0.203947413,34.67155699,1.859339916,10.68172465,0.000403143,80.69905886,0.104820429,0.028091795,0.000403143,80.69905886,0.104820429,0.028091795,0.213986625
15D,15,D,Shade,V.rosea,Highcomp,V.rosea.Highcomp,V.rosea.Highcomp.Shade,V.rosea.Shade.15,15D.V.rosea.Highcomp,1,30,70,30,-40,20,20,20,20,0.666666667,,H.glutinosum,NA,16.9,15.9,15.4,16.06666667,16.06666667,13,13.9,13.9,13.6,16.4,20.8,17.9,18.36666667,16.9,19.3,17.9,18.03333333,18.36666667,5.6,5.6,NA,5.6,5.6,6.6,5.6,5.933333333,5.6,-10.46666667,20,35,1,30,1,1,2,1,,9.1,45.177,0,0,0,0,31.75,-31.75,30,-30,18.66382576,1.559427778,15.28537273,-18.66382576,1.559427778,15.28537273,NA,NA,NA,NA,NA,NA,1.998164,NA,1.998164,18.66382576,1.559427778,15.28537273,1.998164,-18.66382576,1.559427778,15.28537273,NA,NA,NA,NA,NA,NA,NA,NA,1.998164
15E,15,E,Open,A.calendula,Highcomp,A.calendula.Highcomp,A.calendula.Highcomp.Open,A.calendula.Open.15,15E.A.calendula.Highcomp,1,100,70,100,30,130,130,80,105,1.05,BF,Not.focal.species,NA,23.8,13.5,13.9,17.06666667,17.06666667,21.8,16.9,14.9,17.86666667,16.9,26.2,20.3,21.13333333,24.7,19.3,15.9,19.96666667,21.13333333,8.5,5.6,6.6,6.9,6.1,6.6,8.1,6.933333333,6.9,-10.16666667,20,20,10,20,1,1,0,0,,10.7,0,0,16,14,541,383.6667,157.3333,623,-82,35.50925926,0.206610015,1.50343606,-35.50925926,0.206610015,-1.50343606,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.50925926,0.206610015,1.50343606,NA,-35.50925926,0.206610015,-1.50343606,NA,NA,NA,NA,NA,NA,NA,NA,NA
15E,15,E,Open,H.glutinosum,Highcomp,H.glutinosum.Highcomp,H.glutinosum.Highcomp.Open,H.glutinosum.Open.15,15E.H.glutinosum.Highcomp,1,90,10,90,80,10,80,20,50,0.555555556,F,H.glutinosum,60,23.8,13.5,13.9,17.06666667,17.06666667,11.5,13.9,11,12.13333333,16.9,26.2,20.3,21.13333333,14.4,19.3,18.4,17.36666667,21.13333333,8.5,5.6,6.6,6.9,7.6,7.6,NA,7.6,6.9,-10.16666667,20,20,10,20,1,1,0,0,,10.7,0,0,4,4,60,8.5,51.5,0,60,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
15E,15,E,Open,M.minima,Highcomp,M.minima.Highcomp,M.minima.Highcomp.Open,M.minima.Open.15,15E.M.minima.Highcomp,3,30,20,30,10,5,55,22,38.5,1.283333333,S,Not.focal.species,NA,23.8,13.5,13.9,17.06666667,17.06666667,14.9,13.9,14.9,14.56666667,16.9,26.2,20.3,21.13333333,18.4,19.8,17.4,18.53333333,21.13333333,8.5,5.6,6.6,6.9,5.6,8.1,NA,6.85,6.9,-10.16666667,20,20,10,20,1,1,0,0,,10.7,0,0,6,6,6,6,0,7,-1,10.98828868,0.1940725,8.56533359,-10.98828868,0.135420833,8.56533359,0.483306689,0.036677604,21.49734862,0.483306689,0.075328271,21.49734862,0.47206825,0.445696865,0.546697933,10.82442785,0.239212778,9.65817262,0.381245133,-10.82442785,0.200111666,9.65817262,0.066835076,0.322204459,0.024451736,14.33156575,0.297131244,0.322204459,0.050218847,14.33156575,0.22388905
15E,15,E,Open,P.canescens,Highcomp,P.canescens.Highcomp,P.canescens.Highcomp.Open,P.canescens.Open.15,15E.P.canescens.Highcomp,1,250,180,250,70,90,200,150,175,0.7,BF,Not.focal.species,NA,23.8,13.5,13.9,17.06666667,17.06666667,13,13.9,12,12.96666667,16.9,26.2,20.3,21.13333333,16.4,16.4,18.4,17.06666667,21.13333333,8.5,5.6,6.6,6.9,4.6,5.6,NA,5.1,6.9,-10.16666667,20,20,10,20,1,1,0,0,,10.7,0,0,106,92,8449,2240.3333,6208.6667,2965,5484,21.710559,0.935382222,10.13791242,21.710559,-0.935382222,-10.13791242,NA,NA,NA,NA,NA,NA,0.5184628,NA,0.5184628,21.710559,0.935382222,10.13791242,-0.5184628,21.710559,-0.935382222,-10.13791242,NA,NA,NA,NA,NA,NA,NA,NA,-0.5184628
15F,15,F,Shade,A.calendula,Highcomp,A.calendula.Highcomp,A.calendula.Highcomp.Shade,A.calendula.Shade.15,15F.A.calendula.Highcomp,1,170,130,170,40,190,190,140,165,0.970588235,,Not.focal.species,NA,11,11,13.5,11.83333333,11.83333333,13.9,14.4,14.9,14.4,16.9,14.9,15.9,15.9,17.9,17.9,18.9,18.23333333,15.9,5.6,5.6,8.1,6.433333333,7.1,7.6,9.5,8.066666667,6.433333333,-5.4,5,90,5,15,1,1,10,0,,4.4,46.104,0,34,34,1482,880,602,880,602,28.59259256,0.567472016,2.75068824,-28.59259256,-0.567472016,2.75068824,NA,NA,NA,NA,NA,NA,1.06786419,NA,1.06786419,28.59259256,0.567472016,2.75068824,1.06786419,-28.59259256,-0.567472016,2.75068824,NA,NA,NA,NA,NA,NA,NA,NA,1.06786419
15F,15,F,Shade,H.glabra,Highcomp,H.glabra.Highcomp,H.glabra.Highcomp.Shade,H.glabra.Shade.15,15F.H.glabra.Highcomp,6,35,30,35,5,45,45,20,32.5,0.928571429,BFS,Not.focal.species,NA,11,11,13.5,11.83333333,11.83333333,13,12,12,12.33333333,16.9,14.9,15.9,15.9,13.9,15.9,17.9,15.9,15.9,5.6,5.6,8.1,6.433333333,6.1,6.1,6.6,6.266666667,6.433333333,-5.4,5,90,5,15,1,1,10,0,,4.4,46.104,0,7,6,164,97.333333,66.666667,108,56,23.12058081,0.356989406,18.71063004,-23.12058081,0.148427259,18.71063004,53.29969559,0.001654019,37.76226218,53.29969559,0.159770196,37.76226218,1.310842423,1.564421522,1.596431862,19.68907829,0.334916313,22.01894299,1.468387872,-19.68907829,-0.082207981,22.01894299,0.360161648,35.45012973,0.001246273,28.23882636,0.831079745,35.45012973,0.127739215,28.23882636,1.054754443
15F,15,F,Shade,P.airoides,Highcomp,P.airoides.Highcomp,P.airoides.Highcomp.Shade,P.airoides.Shade.15,15F.P.airoides.Highcomp,10,70,170,70,-100,20,20,3,11.5,0.164285714,,P.airoides,25,11,11,13.5,11.83333333,11.83333333,10,11,8.5,9.833333333,16.9,14.9,15.9,15.9,NA,NA,NA,NA,15.9,5.6,5.6,8.1,6.433333333,4.6,5.6,6.1,5.433333333,6.433333333,-5.4,5,90,5,15,1,1,10,0,,4.4,46.104,0,1,1,39,216,-177,387,-348,7.184294875,0.022424312,7.002002455,7.184294875,0.022424312,-7.002002455,103.2281857,0.001005699,98.05607676,103.2281857,0.001005699,98.05607676,0.12424071,0.030871508,0.099392568,5.7474359,0.017939449,5.601601964,0.099392568,5.7474359,0.017939449,-5.601601964,0.016464804,55.05503237,0.000536373,52.29657427,0.016464804,55.05503237,0.000536373,52.29657427,0.12424071
15F,15,F,Shade,P.canescens,Highcomp,P.canescens.Highcomp,P.canescens.Highcomp.Shade,P.canescens.Shade.15,15F.P.canescens.Highcomp,7,220,260,220,-40,60,40,35,37.5,0.170454545,,Not.focal.species,NA,11,11,13.5,11.83333333,11.83333333,14.4,14.4,13.9,14.23333333,16.9,14.9,15.9,15.9,18.4,16.9,17.9,17.73333333,15.9,5.6,5.6,8.1,6.433333333,6.1,7.1,7.1,6.766666667,6.433333333,-5.4,5,90,5,15,1,1,10,0,,4.4,46.104,1,NA,NA,NA,731.75,NA,562,NA,15.46971572,0.972553935,12.00718153,11.81430443,-0.894556435,-12.00718153,163.4350046,1.134184565,78.98036274,313.0364773,1.352629477,78.98036274,0.68318961,1.237484719,0.41298333,12.94322196,0.483663829,16.57634498,-0.112513873,11.37661713,-0.316526329,-16.57634498,0.390414388,60.0636092,0.587198365,44.59438538,0.574626223,104.5131164,0.743230445,44.59438538,-0.54297053
15F,15,F,Shade,V.rosea,Highcomp,V.rosea.Highcomp,V.rosea.Highcomp.Shade,V.rosea.Shade.15,15F.V.rosea.Highcomp,9,50,60,50,-10,25,25,20,22.5,0.45,,P.airoides,50,11,11,13.5,11.83333333,11.83333333,13.5,11.5,12,12.33333333,16.9,14.9,15.9,15.9,14.9,15.9,16.9,15.9,15.9,5.6,5.6,8.1,6.433333333,6.1,7.6,7.6,7.1,6.433333333,-5.4,5,90,5,15,1,1,10,0,,4.4,46.104,0,35,30,77,31.75,45.25,46,31,17.84709103,2.071538108,11.05988456,-17.84709103,2.071538108,7.847993008,177.1317341,0.117516732,22.19682916,177.1317341,0.117516732,103.1702321,1.962499918,0.014702234,1.941688146,21.56740856,2.098348292,9.725880087,1.941688146,-21.56740856,2.098348292,5.44335802,0.014456548,110.0900832,0.094031644,16.95401319,0.014456548,110.0900832,0.094031644,90.03693473,1.962499918
15G,15,G,Shade,H.glabra,Highcomp,H.glabra.Highcomp,H.glabra.Highcomp.Shade,H.glabra.Shade.15,15G.H.glabra.Highcomp,2,20,20,20,0,50,50,20,35,1.75,,Not.focal.species,NA,11.5,13.5,11,12,12,11.5,11.5,9.5,10.83333333,15.4,15.4,16.9,15.9,13.9,14.9,14.9,14.56666667,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,30,5,70,1,1,2,3,,8.4,91.049,0,2,2,100,97.333333,2.666667,96,4,36.95446429,1.151674445,19.09152297,-36.95446429,-0.858628776,19.09152297,179.8559327,1.474486748,41.03808023,179.8559327,2.652708052,41.03808023,1.69631995,0.000134705,1.69631995,36.95446429,1.151674445,19.09152297,1.69631995,-36.95446429,-0.858628776,19.09152297,0.000134705,179.8559327,1.474486748,41.03808023,0.000134705,179.8559327,2.652708052,41.03808023,1.69631995
15G,15,G,Shade,V.rosea,Highcomp,V.rosea.Highcomp,V.rosea.Highcomp.Shade,V.rosea.Shade.15,15G.V.rosea.Highcomp,1,80,40,80,40,70,120,110,115,1.4375,,V.rosea,70,11.5,13.5,11,12,12,12,12,12.5,12.16666667,15.4,15.4,16.9,15.9,13.5,15.4,15.4,14.76666667,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,30,5,70,1,1,2,3,,8.4,91.049,0,22,19,63,31.75,31.25,4,59,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
15H,15,H,Shade,H.glabra,Highcomp,H.glabra.Highcomp,H.glabra.Highcomp.Shade,H.glabra.Shade.15,15H.H.glabra.Highcomp,3,60,40,60,20,65,65,60,62.5,1.041666667,B,A.calendula,80,21.8,19.8,21.3,20.96666667,20.96666667,24.7,26.7,25.2,25.53333333,26.2,28.2,28.2,27.53333333,28.2,31.1,31.6,30.3,27.53333333,18.4,10,11.5,13.3,13.9,13.9,14.9,14.23333333,13.3,-7.666666667,5,30,0,2,3,1,0,0,,13.3,46.45,0,3,3,140,97.333333,42.666667,88,52,38.86238977,NA,22.20510311,-38.86238977,NA,22.20510311,843.541069,NA,8.939544583,843.541069,NA,8.939544583,NA,NA,NA,38.86238977,NA,22.20510311,NA,-38.86238977,NA,22.20510311,NA,843.541069,NA,8.939544583,NA,843.541069,NA,8.939544583,NA
15H,15,H,Shade,M.minima,Highcomp,M.minima.Highcomp,M.minima.Highcomp.Shade,M.minima.Shade.15,15H.M.minima.Highcomp,9,100,60,100,40,12,60,40,50,0.5,BFS,P.canescens,200,21.8,19.8,21.3,20.96666667,20.96666667,25.2,29.2,28.9,27.76666667,26.2,28.2,28.2,27.53333333,30.6,28.2,30.6,29.8,27.53333333,18.4,10,11.5,13.3,13,14.9,13.9,13.93333333,13.3,-7.666666667,5,30,0,2,3,1,0,0,,13.3,46.45,0,6,6,6,4.666667,1.333333,1,5,43.91234472,NA,10.43913853,-43.91234472,NA,10.43913853,985.8385779,NA,0.181474333,985.8385779,NA,0.181474333,NA,NA,NA,61.18040027,NA,10.6734255,NA,-61.18040027,NA,10.6734255,NA,219.0752395,NA,0.040327629,NA,219.0752395,NA,0.040327629,NA
15H,15,H,Shade,P.canescens,Highcomp,P.canescens.Highcomp,P.canescens.Highcomp.Shade,P.canescens.Shade.15,15H.P.canescens.Highcomp,6,190,180,190,10,60,60,30,45,0.236842105,B,A.calendula,170,21.8,19.8,21.3,20.96666667,20.96666667,15.4,14.4,15.9,15.23333333,26.2,28.2,28.2,27.53333333,18.4,19.8,20.8,19.66666667,27.53333333,18.4,10,11.5,13.3,7.1,7.1,6.6,6.933333333,13.3,-7.666666667,5,30,0,2,3,1,0,0,,13.3,46.45,0,7,2,31,731.75,-700.75,608,-577,23.24189814,NA,3.011045668,-8.14083994,NA,-2.709819563,217.2061057,NA,4.068115307,849.0895113,NA,6.365813907,NA,NA,NA,30.29578924,NA,2.208181182,NA,-20.2284171,NA,-1.605728972,NA,249.7413745,NA,3.987888502,NA,860.1165588,NA,6.745126823,NA
15I,15,I,Open,H.glutinosum,Highcomp,H.glutinosum.Highcomp,H.glutinosum.Highcomp.Open,H.glutinosum.Open.15,15I.H.glutinosum.Highcomp,16,60,60,60,0,4,4,2,3,0.05,B,H.glutinosum,30,12.5,13,11.5,12.33333333,12.33333333,11.5,12,12,11.83333333,15.4,16.4,16.9,16.23333333,13.9,14.4,15.9,14.73333333,16.23333333,4.1,4.6,4.6,4.433333333,3.1,4.6,4.1,3.933333333,4.433333333,-7.9,10,60,1,2,1,0,0,0,,11.1,7.282,0,1,1,NA,8.5,NA,17,NA,8.70725047,0.349966201,6.547299698,0.27601502,0.335236201,-6.547299698,99.44919387,0.150935722,105.7036344,200.4358958,0.164393097,105.7036344,0.067264045,0.012448467,0.039389469,2.290594665,0.584475083,16.56186956,0.014881318,-0.044778292,0.580792583,-16.56186956,0.001877774,34.53096926,0.081675115,85.60086534,0.003296522,40.12544267,0.086252287,85.60086534,-0.03076856
