Site,Species,Spp_Code,Replication,Survey_Date,Harvest_Date,Measurement_Date,mean_SLA,mean_leaf_area,leaf_count,tuft_width,leaf_N,total_seed_weight(mg),seed_count,seed_mass,root_mass(mg),root_mass(g),total_root_length(m),specific_root_length,notes,,
SP,Plantago glabrata,PLAGLA,3,15/11/2016,17/11/2016,20/01/2017,48.227,594.927,12,,1.66,,,,3.37,0.00337,0.149745,44.435,,,
SP,Poa gunnii,POAGUN,1,10/01/2017,11/01/2017,20/01/2017,30.225,87.872,,63,1.85,4.424,10,0.442,3.086,0.003086,0.255821,82.897,,,
SP,Poa gunnii,POAGUN,2,10/01/2017,11/01/2017,20/01/2017,27.967,82.712,,58,1.92,3.718,10,0.372,0.628,0.000628,0.046847,74.597,,,
SP,Poa gunnii,POAGUN,3,10/01/2017,11/01/2017,20/01/2017,36.642,114.861,,50,1.7,5.542,10,0.554,6.532,0.006532,0.31753,48.611,,,
SP,Ranunculus lappaceus,RANNAN,1,15/11/2016,17/11/2016,20/01/2017,59.147,354.076,17,,2.37,,,,1.654,0.001654,0.124647,75.361,,,
SP,Ranunculus lappaceus,RANNAN,2,15/11/2016,17/11/2016,20/01/2017,54.511,502.914,8,,2.07,,,,1.038,0.001038,0.027592,26.582,,,
SP,Ranunculus lappaceus,RANNAN,3,15/11/2016,17/11/2016,20/01/2017,81.505,276.819,7,,1.49,,,,1.696,0.001696,0.052897,31.189,,,
SP,Ranunculus nanas,RANNAN,1,24/01/2017,24/01/2017,31/01/2017,71.518,242.489,10,,2,1.392,3,0.464,1.322,0.001322,0.191035,144.505,,,
SP,Ranunculus nanas,RANNAN,2,24/01/2017,24/01/2017,31/01/2017,78.983,203.390,5,,1.61,11.114,16,0.694625,1.422,0.001422,0.076464,53.772,,,
SP,Ranunculus nanas,RANNAN,3,24/01/2017,24/01/2017,31/01/2017,87.676,548.868,5,,1.73,10.22,14,0.73,0.602,0.000602,0.058904,97.847,,,
SP,Rytidosperma carphoides,RYTCAR,1,24/01/2017,24/01/2017,31/01/2017,46.204,54.303,,18,2.23,2.188,5,0.438,1.562,0.001562,0.333779,213.687,,,
SP,Rytidosperma carphoides,RYTCAR,2,24/01/2017,24/01/2017,31/01/2017,47.212,70.668,,30,2.21,2.668,5,0.534,1.704,0.001704,0.099796,58.566,,,
SP,Rytidosperma carphoides,RYTCAR,3,24/01/2017,24/01/2017,31/01/2017,59.893,67.470,,14,1.44,,,,1.556,0.001556,0.130476,83.853,,,
SP,Rytidosperma tenuir,RYTTEN,1,24/01/2017,24/01/2017,31/01/2017,51.892,218.241,,20,2.01,1.792,3,0.597,1.634,0.001634,0.193023,118.129,,,
SP,Rytidosperma tenuir,RYTTEN,2,24/01/2017,24/01/2017,31/01/2017,57.147,290.109,,23,1.52,0.18,1,0.180,1.204,0.001204,0.105686,87.779,,,
SP,Rytidosperma tenuir,RYTTEN,3,24/01/2017,24/01/2017,31/01/2017,121.888,104.494,,25,2.84,8.742,10,0.874,1.726,0.001726,0.13155,76.217,,,
SP,Trifolium striatum ,TRISTR,1,10/01/2017,11/01/2017,20/01/2017,116.611,293.670,5,,2.32,0.612,5,0.122,2.634,0.002634,0.192619,73.128,,,
SP,Trifolium striatum ,TRISTR,2,10/01/2017,11/01/2017,20/01/2017,107.877,545.622,10,,3.84,3.688,15,0.246,3.51,0.00351,0.179174,51.047,,,
SP,Trifolium striatum ,TRISTR,3,10/01/2017,11/01/2017,20/01/2017,113.686,242.013,7,,3.21,1.838,10,0.184,1.624,0.001624,0.182748,112.530,,,
SP,Velleria montana,VELMON,1,15/11/2016,17/11/2016,20/01/2017,48.308,908.408,13,,1.8,15.762,24,0.65675,0.784,0.000784,0.049511,63.152,,,
SP,Velleria montana,VELMON,2,15/11/2016,17/11/2016,20/01/2017,44.386,681.561,18,,NA,7.186,15,0.479066667,0.464,0.000464,0.04341,93.556,,,
SP,Velleria montana,VELMON,3,15/11/2016,17/11/2016,20/01/2017,47.482,714.739,15,,NA,6.026,11,0.547818182,0.664,0.000664,0.05441,81.943,,,
SP,Veronica gracilis,VERGRA,1,9/12/2016,11/12/2016,14/02/2017,41.20945081,36.386,10,,,,,,,,,,,,
SP,Veronica gracilis,VERGRA,2,7/12/2016,8/12/2016,14/02/2017,31.39955675,37.424,14,,,,,,,,,,,,
SP,Veronica gracilis,VERGRA,3,7/12/2016,8/12/2016,13/02/2017,69.66588785,51.27566667,14,,,,,,,,,,,,
SP,Vittadinea spp.,VITUNK,1,10/01/2017,11/01/2017,20/01/2017,68.804,194.583,6,,1.57,3.198,19,0.168,1.912,0.001912,0.142762,74.666,,,
SP,Vittadinea spp.,VITUNK,2,10/01/2017,11/01/2017,20/01/2017,83.480,303.856,6,,1.82,1.904,14,0.136,1.198,0.001198,0.088759,74.089,,,
SP,Vittadinea spp.,VITUNK,3,10/01/2017,11/01/2017,20/01/2017,76.171,275.181,6,,1.45,4.854,20,0.243,0.612,0.000612,0.033981,55.525,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
