Site,Tree.species,Tree.ID,GPS.ID,NS,Side,Pair,Plot.ID,LC,Treatment,RL,Dist.to.tree,A.barbata,A.calendula,A.elegantissima,A.tomentosum,Allocasuarina,B.diandrus,B.drummondii,B.iberidifolia,B.maxima,B.tournefortii,Bare,Borya,Crust,Curly.perennial.thingy,Litter,Dryandra,Euc.litter,G.tenuissima,H.glabra,Jam.litter,L.rosea,Lily,Moss,P.airoides,P.canescens,P.gnaphaloides,P.latifolia,P.lessonii,P.sulcatum,Perr.clump,Pt.honey,Pt.small,R.polyphylla,Millotia.sp,R.pygmaea,Unk.yellow.forb,Dampiera,T.cyanopetala,T.pilosa,Thread.iris,U.anthemoides,V.myuros,W. acuminata,W.acuminata.sauveolens,Wallaby.grass,Z.divaricata
Kunjin,A.acuminata,13,562,S,South,1,13.S.1.L,L,Litter,R,,,,4,12,,,,25,,,0.45,,,,0.1,,,29,5,0.3,,,,0.15,,,,,,,,,,5,,,,,,,,20,26,,,
Kunjin,A.acuminata,13,562,S,South,2,13.S.2.L,L,Litter,L,,,,2,1,,,,10,,,0.8,,,,0.05,,,,1,0.1,,,,0.1,,,,,,,,,,1,,,,,,,,7,47,,,
Kunjin,A.acuminata,13,562,S,South,3,13.S.3.L,L,Litter,R,,,,1,,,,,20,,,0.2,,,,0.15,,,,3,0.2,,,0.08,0.01,,,,,,,,,,1,,,,,,,,50,26,,,
Kunjin,A.acuminata,13,562,S,South,4,13.S.4.L,L,Litter,L,,,,5,,,,,,,,0.2,,0.1,,0.2,,,,8,0.4,10,1,,0.15,,,,,,,,,,8,,,,,,,1,40,9,,,
Kunjin,A.acuminata,13,562,S,South,5,13.S.5.L,L,Litter,R,,,,7,,,,,,,,0.03,,,,0.2,,,,,0.6,,,0.05,0.05,1,,,,,2,,,,3,,,,,,,1,25,27,,,
Kunjin,Allocasuarina,12,572,S,South,1,12.S.1.L,L,Litter,L,,,,,,0.04,,,12,,,0.2,0.15,,0.2,0.09,,,11,,0.05,,,,,,,,,,,,,,,,,,,1,,12,24,30,,,
Kunjin,Allocasuarina,12,572,S,South,2,12.S.2.L,L,Litter,R,,,,,,0.15,,,22,,,0.5,0.03,,0.08,0.15,,,1,,0.05,,,,0.01,,,,,,,,,,,,,,,,,17,6,35,,,
Kunjin,Allocasuarina,12,572,S,South,3,12.S.3.L,L,Litter,L,,,,2,,0.1,,,15,,,0.8,,,,0.15,,,,,0.02,,,,,,,,,,,,,,,,,,,1,,18,17,38,,8,
Kunjin,Allocasuarina,12,572,S,South,4,12.S.4.L,L,Litter,R,,,,1,,0.2,,,,,,0.15,,,0.03,0.2,,,,,0.05,,,,,,,,,,,,,,,,,,,,,40,,30,,,
Kunjin,Allocasuarina,12,572,S,South,5,12.S.5.L,L,Litter,L,,,,,,0.7,,,11,,,0.1,,0.03,,0.2,,,,,0.04,,,,,,,,,,,,,,,,,,,,,10,,26,,1,
Kunjin,E.loxophleba,14,NA,S,South,1,14.S.1.L,L,Litter,,,,,2,,,,,20,,,0.4,,,,,,0.04,,,,,,0.03,30,,,,,,,,,,,,,,,,,,,16,,,
Kunjin,E.loxophleba,14,NA,S,South,2,14.S.2.L,L,Litter,,,,,3,,,,,18,,,0.65,,,,,,,,,,,,0.05,10,1,,,,,,,,,,,,,,,,,,4,,,
Kunjin,E.loxophleba,14,NA,S,South,3,14.S.3.L,L,Litter,,,,,4,,,,,25,,,0.05,,0.05,,,,0.2,,,,,,,30,,,,,,,,,,,,,3,,,,1,15,13,,,
Kunjin,E.loxophleba,14,NA,S,South,4,14.S.4.L,L,Litter,,,,,5,,,,,,,,0.1,,,,,,0.3,,,,,,0.1,7,,,,,,,,,,,,,2,,,,4,12,30,,,
Kunjin,E.loxophleba,14,NA,S,South,5,14.S.5.L,L,Litter,,,,,5,,,,,,,,,,,,,,0.5,,,,,,0.3,,,,,,14,,,,,,,,,,,,,,7,,,
Kunjin,E.loxophleba,15,NA,S,South,1,15.S.1.L,L,Litter,,,,,3,,,,,,,,0.5,,,,,,0.05,,,0.02,,,0.05,,,,,,,,,,2,,,,,,,,,,35,,1,
Kunjin,E.loxophleba,15,NA,S,South,2,15.S.2.L,L,Litter,,,,,6,,,,,,,,0.01,,,,,,0.3,,,0.02,,,0.1,,,,,,,,,,,,,,,,,,,,30,,,
Kunjin,E.loxophleba,15,NA,S,South,3,15.S.3.L,L,Litter,,,,,3,,,,,,,1,,,,,,,0.6,,,0.03,,,0.1,,,,,,,,,,1,,,,,,,,,,5,,2,
Kunjin,E.loxophleba,15,NA,S,South,4,15.S.4.L,L,Litter,,,,,3,,,,,,,1,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,3,,,,,,4,,2,
Kunjin,E.loxophleba,15,NA,S,South,5,15.S.5.L,L,Litter,,,,,3,,,,,,,,,,,,,,0.7,,,,,,0.03,,,,,,,,,,,,,,,,,,,,2,,,
Kunjin,A.acuminata,16,NA,S,South,1,16.S.1.L,L,Litter,,,1,,,,,,,,,,0.2,,,,,,0.02,,,0.02,,,,50,3,,,,,,1,,,,,,,,,,,20,14,,,
Kunjin,A.acuminata,16,NA,S,South,2,16.S.2.L,L,Litter,,,,,5,,,,,,,,0.15,,,,,,0.04,,,0.04,,,,70,,,,,,,,,,,,,,,,,1,,7,,,
Kunjin,A.acuminata,16,NA,S,South,3,16.S.3.L,L,Litter,,,,,10,,,,,,,,0.2,,,,,,0.03,,,0.12,,,,30,2,,,,,,,,,,,,,,,,,20,5,,,
Kunjin,A.acuminata,16,NA,S,South,4,16.S.4.L,L,Litter,,,,,8,,,,,,,,,,,,,,0.01,,,0.9,,,,,7,,,,,,,,,,,,,,,,2,,19,,,
Kunjin,A.acuminata,16,NA,S,South,5,16.S.5.L,L,Litter,,,,,4,,,,,,,,,,,,,,0.05,,,0.9,,,,,,,,,,,,,,,,,,,,,1,,3,,,
